Term,Chinese Translation,English Definition,Chinese Definition
Neurocysticercosis,脑囊虫病,A parasitic infection of the brain caused by larvae of the pork tapeworm Taenia solium.,由猪肉绦虫幼虫感染大脑引起的寄生虫病，可导致癫痫和神经症状。
Subacute Sclerosing Panencephalitis,亚急性硬化性全脑炎,A rare progressive brain disorder caused by persistent measles virus infection.,由麻疹病毒长期潜伏在脑内引起的罕见进行性脑病。
Colchicine Poisoning,秋水仙碱中毒,Toxic effects caused by overdose of colchicine used to treat gout.,由于治疗痛风药物秋水仙碱过量引起的中毒。
Ornithine Transcarbamylase Deficiency,鸟氨酸氨甲酰转移酶缺乏症,A genetic metabolic disorder affecting the urea cycle.,一种影响尿素循环的遗传代谢疾病。
Cushing’s Disease,库欣病,A condition caused by excess cortisol due to a pituitary tumor.,由垂体肿瘤导致皮质醇过多的疾病。
Thrombotic Thrombocytopenic Purpura,血栓性血小板减少性紫癜,A rare blood disorder causing small blood clots throughout the body.,一种罕见血液疾病，会在小血管中形成血栓。
Fulminant Osteomyelitis,暴发性骨髓炎,A rapidly progressing and severe infection of bone.,进展迅速且严重的骨感染。
African Trypanosomiasis,非洲锥虫病,A parasitic disease transmitted by the tsetse fly causing sleeping sickness.,由采采蝇传播的寄生虫病，又称昏睡病。
Brucellosis,布鲁氏菌病,A bacterial infection transmitted from animals or unpasteurized dairy.,通过动物或未消毒乳制品传播的细菌感染。
Nesidioblastoma,胰岛母细胞瘤,A rare pancreatic tumor that produces excess insulin.,一种罕见胰腺肿瘤，会产生过量胰岛素。
Echinococcosis,包虫病,A parasitic disease caused by Echinococcus tapeworms.,由棘球绦虫引起的寄生虫感染。
Behcet’s Disease,贝赫切特病,A chronic inflammatory disease affecting blood vessels.,一种影响血管的慢性炎症性疾病。
Munchausen Syndrome,孟乔森综合征,A psychological disorder in which a person fakes illness for attention.,一种通过伪造疾病来获得关注的心理障碍。
Serotonin Syndrome,血清素综合征,A potentially life-threatening condition caused by excessive serotonin.,由于体内血清素过多引起的严重反应。
Addison’s Disease,阿狄森病,A disorder in which adrenal glands do not produce enough hormones.,肾上腺无法产生足够激素的疾病。
Chimerism,嵌合体,A condition where a person has two different sets of DNA.,一个人体内存在两套不同DNA的现象。
Senile Amyloidosis,老年性淀粉样变性,A condition involving abnormal protein deposits in organs.,器官中异常蛋白沉积的疾病。
Hereditary Angioedema,遗传性血管性水肿,A genetic condition causing recurrent swelling episodes.,一种遗传性疾病，会反复出现严重肿胀。
MERRF Syndrome,MERRF综合征,A mitochondrial genetic disorder affecting muscles and nerves.,一种影响肌肉和神经的线粒体遗传病。
Erythropoietic Protoporphyria,红细胞生成性原卟啉病,A disorder causing extreme sensitivity to sunlight.,一种对阳光极度敏感的遗传疾病。
